turn,card1,card2,chooser,metric,value1,value2,div1,div2,winner
1,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,1,averageClustering,0.89,0.87,0.05093750000000019,0.030937500000000173,1
2,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,22;madach-the-tragedy-of-man;103;3;0.23;0.97;1.78;99,1,averagePathLength,1.56,1.78,0.18875000000000064,-0.031249999999999334,1
3,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,1,averageClustering,0.82,0.98,-0.01906249999999987,0.14093750000000016,2
4,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,26;tolstoy-the-power-of-darkness;24;4;0.25;0.79;2.11;14,2,diameter,6.0,4.0,2.875,0.875,1
5,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,1,averagePathLength,1.28,1.91,0.46875000000000067,-0.16124999999999923,1
6,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,1,diameter,5.0,6.0,1.875,2.875,2
7,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,2,maxDegree,43.0,26.0,17.46875,0.46875,1
8,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,31;brecht-mother-courage-and-her-children;35;3;0.24;0.89;1.95;30,1,averagePathLength,1.66,1.95,0.08875000000000077,-0.20124999999999926,1
9,6;shakespeare-hamlet;34;3;0.34;0.86;1.7;30,28;galdos-electra;15;3;0.53;0.85;1.48;13,1,maxDegree,30.0,13.0,4.46875,-12.53125,1
10,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,1,averagePathLength,1.53,1.42,0.21875000000000067,0.32875000000000076,2
11,27;strindberg-miss-julie;3;1;1;1;1;2,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,2,averagePathLength,1.0,1.47,0.7487500000000007,0.2787500000000007,1
12,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,32;beckett-waiting-for-godot;5;2;0.8;0.87;1.2;4,1,size,79.0,5.0,41.78125,-32.21875,1
13,3;euripides-electra;9;2;0.5;0.8;1.5;8,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,1,averagePathLength,1.5,1.28,0.2487500000000007,0.46875000000000067,2
14,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,2,diameter,3.0,4.0,-0.125,0.875,2
15,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,2,averagePathLength,1.66,1.39,0.08875000000000077,0.3587500000000008,2
16,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,9;racine-andromaque;8;3;0.43;0.64;1.79;5,2,density,0.44,0.43,0.023749999999999938,0.013749999999999929,1
17,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,1,averageClustering,0.89,0.82,0.05093750000000019,-0.01906249999999987,1
18,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,1,maxDegree,33.0,67.0,7.46875,41.46875,2
19,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,2,diameter,2.0,5.0,-1.125,1.875,2
20,22;madach-the-tragedy-of-man;103;3;0.23;0.97;1.78;99,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,2,size,103.0,79.0,65.78125,41.78125,1
21,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,1,size,259.0,15.0,221.78125,-22.21875,1
22,26;tolstoy-the-power-of-darkness;24;4;0.25;0.79;2.11;14,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,1,diameter,4.0,3.0,0.875,-0.125,1
23,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,3;euripides-electra;9;2;0.5;0.8;1.5;8,1,averagePathLength,1.28,1.5,0.46875000000000067,0.2487500000000007,1
