turn,card1,card2,chooser,metric,value1,value2,div1,div2,winner
1,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,1,diameter,5.0,3.0,1.875,-0.125,1
2,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,1,maxDegree,43.0,42.0,17.46875,16.46875,1
3,6;shakespeare-hamlet;34;3;0.34;0.86;1.7;30,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,1,maxDegree,30.0,14.0,4.46875,-11.53125,1
4,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,1,size,79.0,25.0,41.78125,-12.21875,1
5,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,32;beckett-waiting-for-godot;5;2;0.8;0.87;1.2;4,1,maxDegree,41.0,4.0,15.46875,-21.53125,1
6,31;brecht-mother-courage-and-her-children;35;3;0.24;0.89;1.95;30,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,1,maxDegree,30.0,12.0,4.46875,-13.53125,1
7,22;madach-the-tragedy-of-man;103;3;0.23;0.97;1.78;99,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,1,maxDegree,99.0,33.0,73.46875,7.46875,1
8,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,1,averagePathLength,1.56,1.66,0.18875000000000064,0.08875000000000077,1
9,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,1,averagePathLength,1.39,1.28,0.3587500000000008,0.46875000000000067,2
10,3;euripides-electra;9;2;0.5;0.8;1.5;8,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,2,averagePathLength,1.5,1.58,0.2487500000000007,0.16875000000000062,1
11,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,1,size,79.0,13.0,41.78125,-24.21875,1
12,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,1,size,259.0,115.0,221.78125,77.78125,1
13,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,26;tolstoy-the-power-of-darkness;24;4;0.25;0.79;2.11;14,1,averageClustering,0.82,0.79,-0.01906249999999987,-0.04906249999999979,1
14,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,1,averagePathLength,1.53,1.52,0.21875000000000067,0.22875000000000068,2
15,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,28;galdos-electra;15;3;0.53;0.85;1.48;13,2,averagePathLength,1.47,1.48,0.2787500000000007,0.2687500000000007,1
16,9;racine-andromaque;8;3;0.43;0.64;1.79;5,27;strindberg-miss-julie;3;1;1;1;1;2,1,density,0.43,1.0,0.013749999999999929,0.58375,2
17,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,2,averagePathLength,2.81,1.39,-1.0612499999999994,0.3587500000000008,2
18,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,2,averagePathLength,1.92,1.28,-0.17124999999999924,0.46875000000000067,2
19,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,2,averagePathLength,1.61,1.53,0.1387500000000006,0.21875000000000067,2
20,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,2,maxDegree,42.0,26.0,16.46875,0.46875,1
21,6;shakespeare-hamlet;34;3;0.34;0.86;1.7;30,9;racine-andromaque;8;3;0.43;0.64;1.79;5,1,maxDegree,30.0,5.0,4.46875,-20.53125,1
22,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,27;strindberg-miss-julie;3;1;1;1;1;2,1,averagePathLength,1.66,1.0,0.08875000000000077,0.7487500000000007,2
23,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,2,diameter,5.0,5.0,1.875,1.875,0
