turn,card1,card2,chooser,metric,value1,value2,div1,div2,winner
1,9;racine-andromaque;8;3;0.43;0.64;1.79;5,22;madach-the-tragedy-of-man;103;3;0.23;0.97;1.78;99,1,density,0.43,0.23,0.013749999999999929,-0.18625000000000005,1
2,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,1,maxDegree,42.0,12.0,16.46875,-13.53125,1
3,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,1,maxDegree,41.0,21.0,15.46875,-4.53125,1
4,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,3;euripides-electra;9;2;0.5;0.8;1.5;8,1,size,259.0,9.0,221.78125,-28.21875,1
5,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,26;tolstoy-the-power-of-darkness;24;4;0.25;0.79;2.11;14,1,averagePathLength,1.42,2.11,0.32875000000000076,-0.3612499999999992,1
6,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,31;brecht-mother-courage-and-her-children;35;3;0.24;0.89;1.95;30,1,averagePathLength,1.53,1.95,0.21875000000000067,-0.20124999999999926,1
7,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,1,diameter,4.0,2.0,0.875,-1.125,1
8,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,1,averagePathLength,1.58,1.56,0.16875000000000062,0.18875000000000064,2
9,6;shakespeare-hamlet;34;3;0.34;0.86;1.7;30,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,2,size,34.0,79.0,-3.21875,41.78125,2
10,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,2,averagePathLength,2.81,1.47,-1.0612499999999994,0.2787500000000007,2
11,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,32;beckett-waiting-for-godot;5;2;0.8;0.87;1.2;4,2,averagePathLength,1.7,1.2,0.04875000000000074,0.5487500000000007,2
12,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,2,maxDegree,14.0,26.0,-11.53125,0.46875,2
13,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,2,size,48.0,79.0,10.78125,41.78125,2
14,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,2,maxDegree,15.0,33.0,-10.53125,7.46875,2
