turn,card1,card2,chooser,metric,value1,value2,div1,div2,winner
1,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,1,averagePathLength,1.47,1.69,0.2787500000000007,0.058750000000000746,1
2,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,1,averagePathLength,1.28,1.58,0.46875000000000067,0.16875000000000062,1
3,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,1,size,115.0,48.0,77.78125,10.78125,1
4,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,31;brecht-mother-courage-and-her-children;35;3;0.24;0.89;1.95;30,1,averageClustering,0.89,0.89,0.05093750000000019,0.05093750000000019,0
5,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,1,maxDegree,41.0,29.0,15.46875,3.46875,1
6,3;euripides-electra;9;2;0.5;0.8;1.5;8,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,1,averagePathLength,1.5,2.49,0.2487500000000007,-0.7412499999999995,1
7,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,1,averagePathLength,1.56,1.52,0.18875000000000064,0.22875000000000068,2
8,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,2,averagePathLength,1.39,1.66,0.3587500000000008,0.08875000000000077,1
9,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,22;madach-the-tragedy-of-man;103;3;0.23;0.97;1.78;99,1,diameter,5.0,3.0,1.875,-0.125,1
10,32;beckett-waiting-for-godot;5;2;0.8;0.87;1.2;4,26;tolstoy-the-power-of-darkness;24;4;0.25;0.79;2.11;14,1,averagePathLength,1.2,2.11,0.5487500000000007,-0.3612499999999992,1
11,9;racine-andromaque;8;3;0.43;0.64;1.79;5,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,1,density,0.43,0.29,0.013749999999999929,-0.12625000000000008,1
12,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,6;shakespeare-hamlet;34;3;0.34;0.86;1.7;30,1,averagePathLength,1.42,1.7,0.32875000000000076,0.04875000000000074,1
13,28;galdos-electra;15;3;0.53;0.85;1.48;13,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,1,averagePathLength,1.48,1.66,0.2687500000000007,0.08875000000000077,1
14,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,1,averagePathLength,1.53,1.91,0.21875000000000067,-0.16124999999999923,1
15,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,1,averagePathLength,1.28,2.83,0.46875000000000067,-1.0812499999999994,1
16,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,1,averagePathLength,1.47,1.56,0.2787500000000007,0.18875000000000064,1
17,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,1,maxDegree,33.0,26.0,7.46875,0.46875,1
