turn,card1,card2,chooser,metric,value1,value2,div1,div2,winner
1,31;brecht-mother-courage-and-her-children;35;3;0.24;0.89;1.95;30,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,1,maxDegree,30.0,42.0,4.46875,16.46875,2
2,6;shakespeare-hamlet;34;3;0.34;0.86;1.7;30,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,2,averagePathLength,1.7,1.47,0.04875000000000074,0.2787500000000007,2
3,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,2,averagePathLength,1.66,1.28,0.08875000000000077,0.46875000000000067,2
4,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,32;beckett-waiting-for-godot;5;2;0.8;0.87;1.2;4,2,averagePathLength,1.69,1.2,0.058750000000000746,0.5487500000000007,2
5,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,2,diameter,2.0,4.0,-1.125,0.875,2
6,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,2,size,79.0,115.0,41.78125,77.78125,2
7,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,2,maxDegree,21.0,41.0,-4.53125,15.46875,2
8,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,2,averagePathLength,1.53,1.42,0.21875000000000067,0.32875000000000076,2
9,26;tolstoy-the-power-of-darkness;24;4;0.25;0.79;2.11;14,27;strindberg-miss-julie;3;1;1;1;1;2,2,averagePathLength,2.11,1.0,-0.3612499999999992,0.7487500000000007,2
10,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,2,size,9.0,79.0,-28.21875,41.78125,2
11,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,2,averageClustering,0.15,0.82,-0.6890624999999998,-0.01906249999999987,2
12,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,22;madach-the-tragedy-of-man;103;3;0.23;0.97;1.78;99,2,maxDegree,8.0,99.0,-17.53125,73.46875,2
13,9;racine-andromaque;8;3;0.43;0.64;1.79;5,28;galdos-electra;15;3;0.53;0.85;1.48;13,2,averagePathLength,1.79,1.48,-0.04124999999999934,0.2687500000000007,2
14,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,3;euripides-electra;9;2;0.5;0.8;1.5;8,2,averagePathLength,2.83,1.5,-1.0812499999999994,0.2487500000000007,2
15,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,2,averageClustering,0.83,0.89,-0.009062499999999862,0.05093750000000019,2
16,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,2,maxDegree,26.0,43.0,0.46875,17.46875,2
